entidad,comunidad,avg_intra,avg_global,ratio_intra/global,overlap@k
abip1241,10,0.15958771,0.14010519,1.1390564,0.1
abis1238,16,0.13391082,0.123989865,1.0800142,0.5
acha1250,19,0.13223052,0.123072565,1.074411,0.4
ache1246,23,0.16519761,0.12697247,1.3010507,0.2
achu1248,3,0.16155612,0.12536289,1.2887077,0.2
achu1249,2,0.03231684,0.028834164,1.120783,0.2
shiw1235,3,0.06735553,0.030254979,2.2262626,0.2
acro1239,6,0.1422909,0.1172415,1.2136564,0.2
agua1253,21,0.17605151,0.120587185,1.4599521,0.0
aika1237,20,0.13030829,0.121496156,1.0725302,0.3
masa1312,23,0.030962091,0.028062105,1.1033417,0.2
ajyi1238,18,0.06529231,0.064188965,1.017189,0.9
akaw1239,0,0.1195917,0.07021262,1.7032793,0.1
akaw1241,0,0.030872012,0.025511568,1.2101182,0.3
inga1250,0,0.040430654,0.03394421,1.1910914,0.2
akun1241,20,0.15961242,0.14131148,1.1295078,0.2
akur1238,24,0.1756749,0.13296,1.3212612,0.1
alac1239,0,0.056489266,0.055247568,1.0224751,0.7
alac1240,0,0.05465687,0.04857604,1.1251817,0.2
alle1238,3,0.1830019,0.15009706,1.2192239,0.2
amah1246,11,0.12312249,0.11490868,1.0714812,0.5
inuv1238,14,0.03228715,0.0260459,1.2396251,0.1
viwi1238,25,0.037777424,0.027998436,1.349269,0.1
aman1266,12,0.1033221,0.102360114,1.0093981,0.9
amar1274,2,0.14013429,0.12071793,1.1608407,0.3
arak1258,0,0.030624438,0.027947485,1.0957851,0.6
kisa1267,2,0.03248455,0.030572355,1.0625465,0.5
ambo1252,1,0.03952952,0.03952955,0.9999992,1.0
amun1246,24,0.039972592,0.039972562,1.0000007,1.0
anam1249,12,0.115480796,0.11373013,1.0153931,0.8
anau1243,20,0.1152821,0.11147308,1.0341699,0.6
anda1286,16,0.12511572,0.12270961,1.0196081,0.7
ando1254,16,0.11032112,0.109099686,1.0111955,0.8
ando1255,16,0.13338014,0.12271559,1.0869046,0.4
ando1256,16,0.1443161,0.134703,1.0713652,0.3
ando1257,22,0.030875439,0.029741341,1.0381321,0.6
urek1234,22,0.028315622,0.02492485,1.1360399,0.3
anga1316,23,0.17031857,0.13072655,1.3028615,0.2
ango1257,5,0.07679079,0.051603578,1.4880904,0.5
anse1238,2,0.040227473,0.036336172,1.1070917,0.2
anti1242,16,0.14107993,0.13581975,1.0387292,0.5
apal1257,12,0.116198465,0.114672676,1.0133057,0.8
apia1247,12,0.11998234,0.10997529,1.0909936,0.4
apia1248,12,0.100563094,0.100563124,0.9999997,1.0
apin1244,25,0.14095506,0.12476693,1.1297469,0.3
apol1242,12,0.14047259,0.12747112,1.1019955,0.2
apur1254,9,0.12945291,0.11645435,1.1116195,0.4
arab1268,2,0.14728375,0.1277297,1.1530893,0.4
arai1239,20,0.11826424,0.106121756,1.1144203,0.5
arao1248,8,0.13493332,0.12366341,1.0911337,0.3
arap1275,24,0.038778227,0.038778204,1.0000006,1.0
araw1273,12,0.09907903,0.09907903,1.0,1.0
araw1276,19,0.13068579,0.12305369,1.0620226,0.5
guya1254,19,0.048491,0.044166673,1.0979093,0.4
suri1276,19,0.05235496,0.048659127,1.0759536,0.4
vene1263,19,0.049826723,0.046685703,1.0672802,0.5
araz1236,16,0.15683854,0.15263504,1.0275395,0.7
areq1237,1,0.036092103,0.036092073,1.0000008,1.0
anta1257,1,0.054093044,0.052632354,1.0277528,0.6
cota1243,11,0.028101945,0.026003469,1.0806999,0.6
high1279,1,0.041950375,0.041323595,1.0151676,0.8
nort2977,1,0.06116104,0.040665813,1.5039916,0.1
arge1236,17,0.121911906,0.12035618,1.012926,0.9
arhu1242,19,0.15151572,0.13330592,1.1366016,0.1
arik1264,12,0.1041825,0.1019194,1.0222048,0.7
arik1265,19,0.13936293,0.11827181,1.1783276,0.2
aroa1234,16,0.1138023,0.094666176,1.2021432,0.4
arua1261,12,0.09362456,0.091844015,1.0193866,0.7
arua1262,2,0.029804468,0.026297724,1.1333479,0.3
arua1263,12,0.10210264,0.09850879,1.0364825,0.7
arua1264,16,0.1151468,0.10059526,1.1446544,0.4
arub1238,20,0.14061414,0.12724774,1.1050423,0.3
arut1244,16,0.1157652,0.10233927,1.1311904,0.3
awak1251,24,0.062047534,0.045682322,1.3582395,0.2
urua1245,0,0.03219547,0.027831811,1.1567868,0.2
asha1243,18,0.114721775,0.111168385,1.0319641,0.8
ashe1272,18,0.0665027,0.06479337,1.0263813,0.8
ashe1273,18,0.065616116,0.06433921,1.0198464,0.8
atac1235,11,0.15974352,0.13475826,1.185408,0.1
ator1244,16,0.14697333,0.13266332,1.107867,0.3
atsa1242,16,0.14267422,0.13362968,1.0676837,0.3
aura1243,12,0.11331947,0.11013701,1.0288955,0.6
aush1242,16,0.12734778,0.12038672,1.0578225,0.4
avac1239,12,0.12214351,0.12087649,1.010482,0.8
awac1239,12,0.15377297,0.14787869,1.0398588,0.5
