nodo,comunidad,familia
http://example.org/lang/siri1273,0,http://example.org/lang/siri1279
http://example.org/lang/tupi1278,0,
http://example.org/lang/yami1256,1,http://example.org/lang/yami1255
http://example.org/lang/https://wals.info/languoid/lect/wals_code_yam,1,
http://example.org/lang/trin1276,2,http://example.org/lang/barb1267
http://example.org/lang/indo1319,2,
http://example.org/lang/nonu1241,0,http://example.org/lang/nonu1240
http://example.org/lang/https://www.wikidata.org/entity/Q5372139,0,
http://example.org/lang/ajyi1238,3,http://example.org/lang/ashe1271
http://example.org/lang/asha1241,3,
http://example.org/lang/ndyu1242,2,http://example.org/lang/suri1275
http://example.org/lang/nort3152,2,
http://example.org/lang/xere1240,4,http://example.org/lang/jece1235
http://example.org/lang/jece1235,4,
http://example.org/lang/xiri1243,5,http://example.org/lang/bahu1238
http://example.org/lang/negr1239,5,
http://example.org/lang/nina1238,6,http://example.org/lang/yano1268
http://example.org/lang/https://lexibank.clld.org/languages/johanssonsoundsymbolic-Ninam,6,
http://example.org/lang/https://www.wikidata.org/entity/Q35235,7,
http://example.org/lang/Resource,0,
http://example.org/lang/mure1235,14,
http://example.org/lang/uruu1244,7,http://example.org/lang/uruc1242
http://example.org/lang/caja1238,9,http://example.org/lang/caja1240
http://example.org/lang/caja1240,9,
http://example.org/lang/https://lexibank.clld.org/languages/constenlachibchan-Bari,10,
http://example.org/lang/guar1294,11,
http://example.org/lang/jara1276,11,
http://example.org/lang/sanm1306,9,
http://example.org/lang/Family,2,
http://example.org/lang/aika1237,0,
http://example.org/lang/https://phoible.org/languages/aika1237,0,
http://example.org/lang/paum1247,12,http://example.org/lang/araw1282
http://example.org/lang/araw1282,12,
http://example.org/lang/arik1264,0,http://example.org/lang/arik1263
http://example.org/lang/Language,11,
http://example.org/lang/coer1236,13,http://example.org/lang/unun9983
http://example.org/lang/kite1237,14,http://example.org/lang/tapa1264
http://example.org/lang/https://endangeredlanguages.com/lang/2154,11,
http://example.org/lang/shet1240,5,
http://example.org/lang/ship1255,5,
http://example.org/lang/https://www.wikidata.org/entity/Q3027918,0,
http://example.org/lang/arge1236,15,http://example.org/lang/sign1238
http://example.org/lang/https://wals.info/languoid/lect/wals_code_lsa,15,
http://example.org/lang/tuca1252,16,http://example.org/lang/east2707
http://example.org/lang/yoho1239,11,
