nodo,comunidad,familia
http://example.org/lang/baur1253,15,http://example.org/lang/araw1281
http://example.org/lang/baur1256,15,
http://example.org/lang/cail1238,1,
http://example.org/lang/carr1251,1,
http://example.org/lang/pata1261,0,http://example.org/lang/nucl1710
http://example.org/lang/kata1270,0,http://example.org/lang/katu1274
http://example.org/lang/ambo1252,1,http://example.org/lang/cent2141
http://example.org/lang/pana1306,1,http://example.org/lang/cent2141
http://example.org/lang/ship1255,3,
http://example.org/lang/shet1240,3,
http://example.org/lang/selk1256,4,
http://example.org/lang/selk1257,4,
http://example.org/lang/sara1340,25,http://example.org/lang/clas1257
http://example.org/lang/mata1310,25,
http://example.org/lang/sout2989,6,http://example.org/lang/leng1261
http://example.org/lang/nort2971,6,http://example.org/lang/leng1261
http://example.org/lang/para1313,24,http://example.org/lang/tupi1275
http://example.org/lang/para1312,24,http://example.org/lang/tupi1275
http://example.org/lang/siri1274,8,http://example.org/lang/east2698
http://example.org/lang/cara1272,8,http://example.org/lang/east2698
http://example.org/lang/uaia1240,9,
http://example.org/lang/kuru1310,9,
http://example.org/lang/kari1301,9,http://example.org/lang/clas1257
http://example.org/lang/kari1317,9,http://example.org/lang/tupi1275
http://example.org/lang/yahu1241,10,http://example.org/lang/east2698
http://example.org/lang/datu1239,10,
http://example.org/lang/poya1241,11,http://example.org/lang/main1279
http://example.org/lang/pano1254,0,http://example.org/lang/main1279
http://example.org/lang/sala1273,12,http://example.org/lang/tupi1275
http://example.org/lang/urum1250,12,http://example.org/lang/tupi1275
http://example.org/lang/gali1270,9,
http://example.org/lang/kari1318,9,
http://example.org/lang/coch1274,23,
http://example.org/lang/cota1242,11,
http://example.org/lang/tari1256,25,http://example.org/lang/araw1281
http://example.org/lang/bara1380,2,http://example.org/lang/east2698
http://example.org/lang/berb1259,15,http://example.org/lang/clas1257
http://example.org/lang/skep1238,15,http://example.org/lang/clas1257
http://example.org/lang/jama1261,12,http://example.org/lang/araw1282
http://example.org/lang/bana1307,12,
http://example.org/lang/chan1296,16,http://example.org/lang/char1238
http://example.org/lang/char1240,16,http://example.org/lang/char1238
http://example.org/lang/cane1242,22,http://example.org/lang/cerr1237
http://example.org/lang/krah1246][xra,22,
http://example.org/lang/tini1247,18,
http://example.org/lang/maip1246,18,
http://example.org/lang/guat1253,22,
http://example.org/lang/guaj1256,12,http://example.org/lang/tupi1275
http://example.org/lang/kren1239,22,http://example.org/lang/nucl1710
http://example.org/lang/ship1257,3,
http://example.org/lang/guan1268,23,http://example.org/lang/east2852
http://example.org/lang/anga1316,23,http://example.org/lang/east2852
http://example.org/lang/tana1291,0,
http://example.org/lang/toba1270,0,
http://example.org/lang/guia1246,15,http://example.org/lang/clas1257
http://example.org/lang/creo1235,15,http://example.org/lang/clas1257
http://example.org/lang/xing1248,12,http://example.org/lang/tupi1275
http://example.org/lang/turi1247,12,http://example.org/lang/tupi1275
http://example.org/lang/omag1248,19,http://example.org/lang/tupi1275
http://example.org/lang/amah1246,11,http://example.org/lang/main1279
http://example.org/lang/arua1261,12,http://example.org/lang/tupi1275
http://example.org/lang/aman1266,12,http://example.org/lang/tupi1275
http://example.org/lang/anam1249,12,http://example.org/lang/tupi1275
http://example.org/lang/arub1238,20,http://example.org/lang/araw1281
http://example.org/lang/arai1239,20,http://example.org/lang/araw1281
http://example.org/lang/cure1236,16,http://example.org/lang/east2698
http://example.org/lang/coer1236,16,http://example.org/lang/huit1251
http://example.org/lang/yuru1263,10,http://example.org/lang/east2698
http://example.org/lang/peru1238,11,
http://example.org/lang/cahu1266,11,
http://example.org/lang/wara1303,19,
http://example.org/lang/guya1255,19,
http://example.org/lang/beto1237,22,
http://example.org/lang/ebit1237,22,
http://example.org/lang/mach1267,18,http://example.org/lang/araw1281
http://example.org/lang/nant1250,18,http://example.org/lang/araw1281
http://example.org/lang/hupd1245,21,
http://example.org/lang/tuhu1238,21,
http://example.org/lang/tani1258,22,
http://example.org/lang/pami1248,22,
http://example.org/lang/latu1238,24,http://example.org/lang/namb1299
http://example.org/lang/tawa1278,24,http://example.org/lang/namb1299
http://example.org/lang/paux1235,2,http://example.org/lang/cari1283
http://example.org/lang/capo1236,2,http://example.org/lang/nucl1710
http://example.org/lang/paui1240,21,
http://example.org/lang/west3014,21,
http://example.org/lang/nucl1664,15,
http://example.org/lang/saku1239,15,
http://example.org/lang/mear1240,24,
http://example.org/lang/pind1244,24,
http://example.org/lang/cuib1242,25,http://example.org/lang/guah1252
http://example.org/lang/moch1258,26,
http://example.org/lang/huam1248,1,http://example.org/lang/cent2141
http://example.org/lang/huam1249,1,
http://example.org/lang/mand1447,22,
http://example.org/lang/iran1264,22,
http://example.org/lang/serr1256,14,
http://example.org/lang/zoro1244,14,
http://example.org/lang/coca1261,23,
http://example.org/lang/boli1264,1,
http://example.org/lang/sala1284,1,
http://example.org/lang/east2550,26,
http://example.org/lang/east2560,21,
http://example.org/lang/apan1243,22,
http://example.org/lang/apap1240,22,
http://example.org/lang/hupd1244,21,http://example.org/lang/east2549
http://example.org/lang/tupi1288,0,
http://example.org/lang/macu1261,0,
http://example.org/lang/cent2363,21,
http://example.org/lang/cent2420,21,
http://example.org/lang/jira1235,16,
http://example.org/lang/jira1249,2,
http://example.org/lang/paca1246,8,http://example.org/lang/main1279
http://example.org/lang/chac1251,8,http://example.org/lang/main1279
http://example.org/lang/taus1253,16,
http://example.org/lang/abis1238,16,
http://example.org/lang/juri1235,10,http://example.org/lang/ticu1244
http://example.org/lang/muru1274,23,http://example.org/lang/huit1251
http://example.org/lang/chac1250,26,http://example.org/lang/quec1387
http://example.org/lang/lamu1256,23,
http://example.org/lang/arge1236,17,http://example.org/lang/deaf1237
http://example.org/lang/chil1264,17,http://example.org/lang/deaf1237
http://example.org/lang/roco1235,16,http://example.org/lang/chap1271
http://example.org/lang/mure1235,16,
http://example.org/lang/wayu1243,19,http://example.org/lang/araw1281
http://example.org/lang/waur1244,19,http://example.org/lang/araw1281
http://example.org/lang/chin1483,1,http://example.org/lang/quec1386
http://example.org/lang/cuti1242,0,
http://example.org/lang/juru1257,20,
http://example.org/lang/sanj1287,1,
http://example.org/lang/sant1461,1,
http://example.org/lang/onaa1245,4,http://example.org/lang/chon1288
http://example.org/lang/nucl1800,4,
http://example.org/lang/masi1272,18,
http://example.org/lang/sout2994,14,http://example.org/lang/namb1299
http://example.org/lang/saxw1243,14,
http://example.org/lang/ayac1239,11,http://example.org/lang/quec1387
http://example.org/lang/anda1285,1,
http://example.org/lang/kama1373,25,http://example.org/lang/tupi1275
http://example.org/lang/kadi1248,25,http://example.org/lang/guai1249
http://example.org/lang/itor1239,11,
http://example.org/lang/huac1245,11,
http://example.org/lang/yama1264,21,
http://example.org/lang/cana1270,1,
http://example.org/lang/ando1255,16,http://example.org/lang/arab1396
http://example.org/lang/ando1254,16,http://example.org/lang/huit1251
http://example.org/lang/nape1237,16,http://example.org/lang/chap1271
http://example.org/lang/kite1237,16,http://example.org/lang/chap1271
http://example.org/lang/deni1241,4,http://example.org/lang/araw1282
http://example.org/lang/huai1241,26,
http://example.org/lang/apon1239,26,
http://example.org/lang/apon1238,26,
http://example.org/lang/aush1242,16,http://example.org/lang/zapa1251
http://example.org/lang/oldp1258,19,
http://example.org/lang/cura1243,19,
http://example.org/lang/yrap1237,2,
http://example.org/lang/chap1269,16,http://example.org/lang/chap1271
http://example.org/lang/hixk1239,25,http://example.org/lang/cari1283
http://example.org/lang/xere1241,25,
http://example.org/lang/bani1262,19,
http://example.org/lang/bani1260,19,
http://example.org/lang/pali1280,9,
http://example.org/lang/caqu1242,18,http://example.org/lang/araw1281
http://example.org/lang/cash1251,19,http://example.org/lang/main1279
http://example.org/lang/java1255,15,
http://example.org/lang/javi1240,15,
http://example.org/lang/mari1442,12,http://example.org/lang/tupi1275
http://example.org/lang/apia1248,12,http://example.org/lang/tupi1275
http://example.org/lang/arar1264,0,
http://example.org/lang/timb1265,19,
http://example.org/lang/sano1236,19,
http://example.org/lang/chay1248,26,http://example.org/lang/cahu1265
http://example.org/lang/mode1267,15,
http://example.org/lang/maqu1238,25,http://example.org/lang/cari1283
http://example.org/lang/mayo1265,18,
http://example.org/lang/ware1259,19,
http://example.org/lang/ware1258,19,
http://example.org/lang/yaro1235,19,http://example.org/lang/nina1239
http://example.org/lang/mohi1234,22,
http://example.org/lang/xuku1239,25,
http://example.org/lang/xakr1238,6,http://example.org/lang/cerr1237
http://example.org/lang/zuti1239,24,
http://example.org/lang/enaw1238,14,http://example.org/lang/araw1281
http://example.org/lang/araw1273,12,http://example.org/lang/tupi1275
http://example.org/lang/krak1234,22,
http://example.org/lang/mapu1245,23,http://example.org/lang/arau1255
http://example.org/lang/molu1245,23,
http://example.org/lang/carm1234,11,
http://example.org/lang/cash1254,11,http://example.org/lang/main1279
http://example.org/lang/yudj1235,18,
http://example.org/lang/sius1255,19,
http://example.org/lang/sout2997,21,
http://example.org/lang/sout2998,21,
http://example.org/lang/achu1248,3,http://example.org/lang/jiva1245
http://example.org/lang/huam1247,3,http://example.org/lang/jiva1245
http://example.org/lang/tigr1254,25,
http://example.org/lang/tamp1255,25,
http://example.org/lang/guay1256,11,
http://example.org/lang/guar1294,14,
http://example.org/lang/kamu1237,23,
http://example.org/lang/apur1253,2,
http://example.org/lang/para1310,12,http://example.org/lang/cari1283
http://example.org/lang/yaru1255,12,http://example.org/lang/cari1283
http://example.org/lang/high1279,1,
http://example.org/lang/sanb1242,1,http://example.org/lang/chib1249
http://example.org/lang/bord1248,1,http://example.org/lang/chib1249
http://example.org/lang/guay1257,25,http://example.org/lang/guah1252
