comunidad,n_miembros,intra_prom,inter_prom,relacion_inter/intra
2,75,0.4444175,0.52490914,1.1811172
22,75,0.45817435,0.5586448,1.2192843
0,69,0.4548501,0.55626106,1.2229546
16,66,0.58877295,0.6393929,1.0859753
19,66,0.5255238,0.56069046,1.0669174
11,57,0.5325904,0.5700974,1.0704237
1,56,0.45473123,0.56189257,1.2356586
25,55,0.57281727,0.57549953,1.0046825
21,54,0.4952618,0.53959846,1.0895216
8,48,0.5912017,0.61017466,1.0320921
23,48,0.47984233,0.5195164,1.0826815
12,47,0.55370826,0.62559116,1.129821
24,46,0.4746117,0.54417217,1.1465629
15,43,0.57995117,0.59528464,1.0264393
26,41,0.48013455,0.5511946,1.1480004
10,38,0.58091533,0.59488547,1.0240484
20,37,0.5832692,0.6153263,1.0549611
14,32,0.4521037,0.5466303,1.2090818
18,25,0.55168515,0.5969485,1.0820457
9,24,0.5846039,0.59730494,1.0217259
6,24,0.5639257,0.6266923,1.111303
4,23,0.5121916,0.57654303,1.1256394
3,16,0.5214993,0.54945457,1.0536057
7,11,0.30414355,0.71599424,2.3541327
5,11,0.43039313,0.5866874,1.363143
17,11,0.5012665,0.70025367,1.3969688
13,3,0.2557593,0.7709985,3.014547
